Category,Label,Originated_By,Source,Text
politics war economy health etc ,1,barack obama,poltifact,republican include mr boehner charge number earmark pet project go
politics war economy health etc ,0,dan gelber,poltifact,receive contribution candidate race republican democrat
business news,1,bbc,bbc,plan sizewell outdated say scientist bbc politics east
indian fake news,0,times of india,times of india,fake alert sunita williams convert islam
indian news,1,the hindu,the hindu,focus consistent qualitative growth uco bank md bank earn good profit
entertainment news,1,abc news,abc news,colm toibin magician win folio prize literature magician irish writer colm toibin britain rathbones folio prize literature
covid19 news,1,bbc,bbc,tonga enters covid lockdown aid deliver case detect among port worker humanitarian aid arrives volcano tsunami
indian fake news,0,times of india,times of india,fact check bjp behind shoot mahatma gandhi effigy
climate news,1,bbc,bbc,climate group gas exploration concern raise extension firm licence search gas manx coast
politics war economy health etc ,0,facebook posts,poltifact,high level sulfur dioxide wuhan may sign mass cremation victim coronavirus
politics war economy health etc ,0,drew springer,poltifact,say bag litter increase san francisco ban single use shopping bag
politics war economy health etc ,1,bill mccollum,poltifact,rick scott former health care company columbia hca commit fraud
politics war economy health etc ,1,scott walker,poltifact,graduation third grade reading score state since take office
politics war economy health etc ,0,one america news,poltifact,mainstream medium pretend deadly surge covid case thanks wisconsinite voting
politics war economy health etc ,0,vern buchanan,poltifact,vern buchanan completely exonerate federal election commission action
politics war economy health etc ,0,facebook posts,poltifact,say kurt russell goldie hawn support trump wear shirt
business news,1,bbc,bbc,former apprentice winner honour cover claude entertainment reporter
asian news,1,bbc,bbc,billionaire launch criminal case facebook world first case australia andrew forrest take aim scam ad use image
asian news,1,bbc,bbc,korean cross dmz rare defection north seoul say ask north shoot sight policy protect person
politics war economy health etc ,0,karen handel,poltifact,say lucy mcbath support attack police
climate news,1,bbc,bbc,tech save world
politics war economy health etc ,0,troy nehls,poltifact,joe biden america child likely access crack pipe mask free education
politics war economy health etc ,0,facebook posts,poltifact,cdc confirm death rate covid19
indian news,1,the hindu,the hindu,bjp mlas bihar jharkhand wear saffron robe assembly lawmaker laud party victory assembly poll across four state
ukraine russia war,1,bbc,bbc,wheat shortage loom africa ukraine war un
politics war economy health etc ,1,david barton,poltifact,say republican lieutenant house speaker joe straus air radio ad support democrat ic state rep mark homer help democrat narrow win
indian news,1,ndtv,ndtv,delhi assembly go paperless 70 mlas get ipads delhi assembly thursday move step closer paperless 70 mlas get ipads receive information document legislative proceeding online
politics war economy health etc ,0,chain email,poltifact,muslim attempt establish first islamic sharia court inside united state town irving texas
politics war economy health etc ,0,facebook posts,poltifact,widow son decease military veteran look horror speaker nancy pelosi ripped copy state union
politics war economy health etc ,0,leah vukmir,poltifact,tammy baldwin oppose display flag recite pledge allegiance sing national anthem classroom
politics war economy health etc ,1,john mccain,poltifact,congressman hayworth avid earmarker support pork 220 000 renovate maine blueberry farm million vermont snowmobile trail
politics war economy health etc ,0,viral image,poltifact,photo show joe biden grope jen psaki
politics war economy health etc ,0,facebook posts,poltifact,nevada ag admits change signature verification manually 200 000 vote
politics war economy health etc ,0,donald trump,poltifact,80 world population life country religious liberty significant danger even completely outlaw
business news,1,bbc,bbc,constantly worried evict business reporter bbc news
politics war economy health etc ,0,greg abbott,poltifact,000 murder connection lax border security
technology news,1,bbc,bbc,online safety bill new offence tighter rule next stage landmark online safety bill recommends major change tougher regulation
politics war economy health etc ,0,ron desantis,poltifact,look place reduce police funding already see crime go
business news,1,bbc,bbc,firm call urgent help energy bill
politics war economy health etc ,0,mitt romney,poltifact,obama environmental protection agency sent email hispanic heritage month photo che guevara
politics war economy health etc ,0,kevin cramer,poltifact,standard voting north dakota easy country
indian news,1,the hindu,the hindu,foodgrains worth 14 crore seize year bengaluru
politics war economy health etc ,0,anne nolan,poltifact,rhode island recent study show among group people homeless year medicaid cost average 60 000 per person
politics war economy health etc ,0,scott walker,poltifact,2011 13 budget average wisconsin property taxpayer save 700
covid19 news,1,bbc,bbc,murder victim could get help lockdown stacey harris say lockdown make thing bad mother kill abusive partner
technology news,1,bbc,bbc,year trump benefit twitter ban ex president expel twitter year ago impact back
ukraine russia war,1,bbc,bbc,trafalgar square hundred protest ukraine invasion trafalgar square sea blue yellow demonstrator protest russia invasion
politics war economy health etc ,0,rand paul,poltifact,average public school teacher wisconsin make 89 000 year salary benefit
indian fake news,0,times of india,times of india,fake alert old tweet pm modi share claim express grief post fadnavis resignation
indian news,1,the hindu,the hindu,man held theft prefabricate public toilet hyderabad
politics war economy health etc ,0,sean duffy,poltifact,united state spends billion free cell phone 27 million moroccan pottery class pay travel expense watermelon queen alabama
technology news,1,bbc,bbc,la lakers home rename crypto firm staple center los angeles rename crypto com arena 700 million deal
politics war economy health etc ,0,lauren kane,poltifact,prosecution state sen balfour cost less 100 exclude prosecutor salary
indian news,1,the hindu,the hindu,ruling bjp win fair distance despite litany complaint bjp government party manage bulldoze back beneficiary silent voter
ukraine russia war,1,bbc,bbc,brit find ukrainian refugee host polish trip british man flew poland find refugee host say wait bring uk
ukraine russia war,1,bbc,bbc,mum avoids jail rescue daughter ukraine 37 year old convict abduct daughter judge say extraordinary time
politics war economy health etc ,0,amy klobuchar,poltifact,comprehensive immigration reform bill back 2013 brought debt 158 billion
politics war economy health etc ,0,eric burlison,poltifact,remember american revolution begin come gun
politics war economy health etc ,1,gordon hintz,poltifact,know mask mandate work enough evidence county do county
politics war economy health etc ,0,president trump s lawyers,poltifact,say president donald trump dictate short accurate response new york time article trump tower meeting russian
politics war economy health etc ,0,donald trump,poltifact,executive order expensive insulin go big dollar virtual penny especially senior
politics war economy health etc ,0,bloggers,poltifact,trump sign bill clean million ton garbage world ocean
politics war economy health etc ,0,sherri tenpenny,poltifact,covid 19 vaccine make people magnetize put key forehead stick put spoon fork stick
asian news,1,bbc,bbc,warn shipping delay problem set continue global product shortage shipping disruption show sign ease study find
politics war economy health etc ,0,tdtalliance com,poltifact,obama order ban christmas card military
technology news,1,bbc,bbc,surf tech make wave sport surf modernise use technology offer big well safer thrill
politics war economy health etc ,0,james tedisco,poltifact,new york lead nation migration resident 126 000 people leave last year one million past decade
ukraine russia war,1,bbc,bbc,get soldier son back russian mother plea family russian soldier ukraine tell bbc men idea get
politics war economy health etc ,0,pat boone,poltifact,independent payment advisory board create health care reform law ration care deny certain medicare treatment
politics war economy health etc ,0,bill brady,poltifact,say last income tax increase state illinois saw large exodus middle income family
politics war economy health etc ,0,american commitment,poltifact,bill nelson decide vote health care law
politics war economy health etc ,1,kamala harris,poltifact,say obama administration pattern practice investigation discrimination police department donald trump come jeff session undid
politics war economy health etc ,0,nathan deal,poltifact,georgia department economic development assist creation 28 776 job increase 29 percent last fiscal year 97 billion investment 32 percent increase
asian news,1,bbc,bbc,military truck ram group myanmar protester several people injured demonstration country military ruler
politics war economy health etc ,1,joe biden,poltifact,already 10 000 business likely open significant number small business minority business
indian news,1,ndtv,ndtv,mlas join bihar bjp minister nameplate go miss home nameplate home bihar minister go miss lead buzz may follow footstep three party mlas join bjp
politics war economy health etc ,0,ron paul,poltifact,say rick perry write letter support hillarycare
politics war economy health etc ,0,stephen ucci,poltifact,bank surveillance camera capture criminal face identifiable trait would certainly discourage robbery attempt serve deterrent robber
business news,1,bbc,bbc,fear uk food fuel price rise due war business reporter bbc news
asian news,1,bbc,bbc,special force hid evidence afghan killing mod document show uk special force officer suspect men kill unarmed afghan
politics war economy health etc ,0,barack obama,poltifact,economic crisis big problem whole process deregulation financial system
politics war economy health etc ,1,veronica escobar,poltifact,saw increase unaccompanied minor southern border date back almost year
politics war economy health etc ,0,rick perry,poltifact,thomas paine write duty patriot protect country government
indian news,1,the hindu,the hindu,special court issue summons minister somanna corruption case court reject acb investigation report submit 2018 say probe conduct properly
politics war economy health etc ,0,workers  voice,poltifact,say mitt romney investment create zero job
politics war economy health etc ,0,chris christie,poltifact,say 12 month job increase sixth high nation
business news,1,bbc,bbc,indian born ceo dominate silicon valley bbc news
politics war economy health etc ,1,paul sarlo,poltifact,state unemployment rate fifth high country full point nationwide rate high neighbor state
indian fake news,0,times of india,times of india,fake alert 2016 photo share claim jnu student brutally thrash
politics war economy health etc ,0,your choice colorado,poltifact,expand sale full strength beer wine grocery store good everybody
ukraine russia war,1,bbc,bbc,council seek end russian energy firm contract pendle council want end deal gazprom wake invasion ukraine
technology news,1,bbc,bbc,hollyoaks star shock lose job onlyfans
indian news,1,the hindu,the hindu,uproar karnataka council screen kashmir file legislator opposition leader sought know movie screen announce session dedicate discuss state budget
covid19 news,1,bbc,bbc,lockdown help find passion stream imarah forrester describes sims obsess mommy live stream twitch day
politics war economy health etc ,0,david cicilline,poltifact,40 percent sale nationally make without background check
asian news,1,bbc,bbc,bad weather cause top indian general fatal crash bad weather behind helicopter crash kill general bipin rawat authority say
politics war economy health etc ,0,barack obama,poltifact,one 250 million american already health insurance keep health insurance
indian fake news,0,times of india,times of india,fake alert bihar video share false claim upper caste refuse food dalits
politics war economy health etc ,1,fair districts florida,poltifact,last year 420 election state senator state representative three incumbent defeat
politics war economy health etc ,0,donald trump,poltifact,beating kelly ayotte poll lot
politics war economy health etc ,0,john delaney,poltifact,amazon rainforest fire directly related trade tension united state china
politics war economy health etc ,1,nathan deal,poltifact,state overall revenue return year 2007 level
climate news,1,bbc,bbc,indian pm promise net zero 2070
politics war economy health etc ,0,leonidas raptakis,poltifact,minimum wage risen 35 last two year 31 percent
indian news,1,ndtv,ndtv,delhi assembly go paperless 70 mlas get ipads delhi assembly thursday move step closer paperless 70 mlas get ipads receive information document legislative proceeding online
indian news,1,the hindu,the hindu,chief minister say thank prime minister naveen gyanagoudar parent eager see face least one last time
politics war economy health etc ,0,bloggers,poltifact,jeff session caught collude obama
politics war economy health etc ,0,mike pompeo,poltifact,ask defend former ambassador ukraine marie yovanovitch defend every single person team
indian news,1,the hindu,the hindu,mule mantra remote arunachal village without road state push pack animal inclusion border area development programme
politics war economy health etc ,0,eric swalwell,poltifact,15 000 troop see family thanksgiving realdonaldtrump scaravan stunt oh yeah also cost 200 million dollar
ukraine russia war,1,bbc,bbc,ukraine offer tool search billion face clearview ai face search tech could use uncover infiltrator identify dead
politics war economy health etc ,0,viral image,poltifact,photo show raz simone allege leader chaz cry seattle police arrest
indian news,1,the hindu,the hindu,top andhra pradesh news development today key news development andhra pradesh march 15 tuesday
politics war economy health etc ,1,dennis kucinich,poltifact,social security cause debt crisis social security nothing debt crisis
politics war economy health etc ,1,don huffines,poltifact,texan high property tax nation
indian news,1,ndtv,ndtv,congress leader sue ip officer others 500 crore phone tap case maharashtra congress president nana patole file 500 crore defamation suit civil court ip officer former state intelligence chief rashmi shukla others allege illegal tap phone
politics war economy health etc ,0,viral image,poltifact,joe biden great grandfather joseph biden slave owner fought confederacy
indian news,1,the hindu,the hindu,interior part tamil nadu may continue sizzle isolated rain likely state puducherry three day
politics war economy health etc ,0,ted cruz,poltifact,poll poll poll show beating hillary
indian news,1,the hindu,the hindu,bjp mlas bihar jharkhand wear saffron robe assembly lawmaker laud party victory assembly poll across four state
politics war economy health etc ,0,judy shiprack and diane mckeel,poltifact,say november 2010 voter overwhelmingly support idea create library district
indian news,1,ndtv,ndtv,thrash burnt alive say autopsy bengal killing report birbhum violence eight people include three woman two child burnt alive bogtui village west bengal birbhum district badly beaten carnage post mortem forensic examination reveal
politics war economy health etc ,0,jennifer carroll,poltifact,rick scott tie lobbyist
politics war economy health etc ,0,ted budd,poltifact,american rescue plan actually go covid meaning 91 even covid related
politics war economy health etc ,0,raul labrador,poltifact,obama administration estimate number child border go increase 150 000 200 000 next year
politics war economy health etc ,0,puppetstringnews com,poltifact,obama release 10 russian agent custody 2010 hillary uranium deal
politics war economy health etc ,1,linda coleman,poltifact,george hold vote 13 time deny kevin 300 000 people like 2nd congressional district coverage pre exist condition
covid19 news,1,bbc,bbc,drive covid vaccination centre open facility county hall allows people get jab without leave car
indian news,1,the hindu,the hindu,budget give 000 crore booster dose ail ksrtc private bus operates allege neglect threaten indefinite strike
